prune_mutation_chance	hoist_mutation_chance	grow_leaf_mutation_chance	grow_root_mutation_chance	simplify_chance	n	mutation_children	crossover_children	error
0.24558354665622292	0.05872782653239446	0.2573561524055601	0.211335399521408	0.6089069019441029	30	1	2	0.015863891395557606
0.36422511330887464	0.19577411901276098	0.15805638588564389	0.16787365759428854	0.2623951220684694	20	1	3	0.01588287236127039
0.15085243623503347	0.3904723747802429	0.07269507241790774	0.040973995981913224	0.7703685522198366	50	2	2	0.015884498932156182
0.11966397891886756	0.19110459543479422	0.011825734955959219	0.4150575949642077	0.30374102158737903	50	5	1	0.015885608552912555
0.21016253413540378	0.19631040415879722	0.27803429883040554	0.1586289025911432	0.3244126329386243	80	5	2	0.015911220448190523
0.21464812839236452	0.17290968181413913	0.23945946105790072	0.1277290582510644	0.15542719246269188	50	2	2	0.015911509238133163
0.10486205707073282	0.20679465542571127	0.27870003948771427	0.23281785759064583	0.71511255282117	130	5	5	0.015944240098735518
0.47749909287752607	0.09859388314097878	0.016256876450361866	0.01659465141871024	0.17458694445475664	80	5	1	0.015944556579931504
0.131631601258607	0.26030168363438505	0.004604531004387116	0.3233597959660411	0.6803113358401469	130	3	3	0.015958394041794367
0.30554170333014885	0.2553941175067418	0.09111941791400929	0.04817797544219551	0.02133443471700136	50	2	3	0.01598576860505397
0.1027002821219224	0.17414302934663364	0.10225006527711314	0.2966422818152107	0.06455645743168614	20	2	3	0.015992026035593816
